fecha,valor
2017-01,118.6
2017-02,142.4
2017-03,165.5
2017-04,192.8
2017-05,227.9
2017-06,276.7
2017-07,348.6
2017-08,466.5
2017-09,636.3
2017-10,925.8
2017-11,1450.7
2017-12,2683.7
2018-01,4943.5
2018-02,8898.2
2018-03,14860
2018-04,26762.9
2018-05,56228.8
2018-06,128398.5
2018-07,288896.7
2018-08,933425.2
2018-09,3111106.2
2018-10,7721765.5
2018-11,18856551.4
2018-12,45585713
2019-01,132927939.1
2019-02,204310242.4
2019-03,241290396.3
2019-04,349147203.4
2019-05,458430278.1
2019-06,572120987.1
2019-07,765497880.7
2019-08,1264602499
2019-09,1561784086
2019-10,1885073392
2019-11,2559929666
2019-12,3407266386
2020-01,5635618602
